                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9776,                 3.3168,                 1.8083,                0.04582,                0.43837,                0.12162,                0.06207,                  1.547,                 3.3053,                 1.6149,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.7186,                 2.5764,                 1.5558,                0.86612,                0.17431,                0.31704,                0.15157,                 1.7102,                 2.6801,                 1.5318,             0.00031046,             0.00031046,             0.00031046
                      3,                 1.6754,                 1.9245,                 1.4567,                0.35103,                0.38913,                0.45409,                    0.2,                 1.7619,                 2.2408,                 1.5426,             0.00046429,             0.00046429,             0.00046429
                      4,                 1.6956,                 1.5709,                 1.5117,                0.52298,                0.52552,                0.45432,                0.18228,                 1.9472,                 1.9539,                 1.6767,             0.00061151,             0.00061151,             0.00061151
                      5,                 1.6724,                 1.3625,                 1.5102,                0.67007,                0.49928,                0.47467,                0.21061,                 1.8156,                 1.7876,                 1.5861,             0.00075214,             0.00075214,             0.00075214
                      6,                 1.6026,                 1.2793,                 1.4545,                0.58419,                0.59151,                 0.5453,                0.23464,                 1.8717,                 1.4774,                 1.5692,             0.00088616,             0.00088616,             0.00088616
                      7,                 1.5489,                 1.2411,                 1.4317,                0.62771,                0.68584,                0.64194,                0.28826,                 1.8323,                 1.3335,                 1.4944,              0.0010136,              0.0010136,              0.0010136
                      8,                 1.5997,                 1.2539,                 1.4482,                0.64879,                0.56703,                0.62426,                0.26612,                 1.9251,                 1.3829,                 1.5272,              0.0011344,              0.0011344,              0.0011344
                      9,                 1.5422,                  1.167,                 1.3786,                0.67793,                0.66448,                0.67579,                0.30611,                 1.8192,                 1.4152,                 1.4942,              0.0012486,              0.0012486,              0.0012486
                     10,                 1.5212,                 1.0992,                 1.3502,                0.73627,                0.63833,                0.71894,                0.32193,                 1.8295,                 1.4257,                 1.5576,              0.0013562,              0.0013562,              0.0013562
                     11,                 1.5244,                 1.1396,                 1.3938,                 0.7139,                0.65692,                0.68843,                0.32673,                 1.8777,                 1.3657,                 1.5776,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.5697,                  1.152,                 1.4358,                0.70423,                0.52966,                0.59124,                0.27682,                 1.7926,                  1.694,                 1.5813,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.4942,                 1.1199,                 1.3697,                0.73618,                0.55503,                0.61505,                0.28058,                  1.828,                 1.5574,                  1.614,              0.0013039,              0.0013039,              0.0013039
                     14,                  1.447,                 1.0319,                 1.3365,                0.66759,                0.63584,                0.61922,                0.27618,                 1.9124,                 1.2887,                 1.7423,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4826,                 1.0259,                 1.3151,                0.70225,                0.55739,                0.61223,                0.26315,                 1.8447,                 1.4064,                 1.6732,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4904,                 1.0467,                 1.3406,                0.73565,                0.62256,                0.67073,                0.26498,                 1.8891,                 1.4294,                 1.5789,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.4781,                 1.0584,                 1.3437,                0.68318,                0.74441,                 0.7321,                0.31336,                 1.7592,                 1.3039,                 1.4851,              0.0011719,              0.0011719,              0.0011719
